obs, insertion, bubble, selection, merge, type
262, .312, 18.104, 35.155, .720, Array
263, 98.455, 1.198, 192.994, .913, List
263, .313, 18.267, 35.392, .717, Array
264, 113.791, 1.339, 194.768, .978, List
264, .314, 18.628, 35.880, .728, Array
265, 100.065, 1.202, 195.870, .931, List
265, .320, 18.509, 35.903, .727, Array
266, 101.216, 1.366, 197.362, .960, List
266, .317, 18.743, 36.155, 2.327, Array
267, 103.179, 1.360, 198.807, .959, List
267, .318, 18.784, 37.228, .739, Array
268, 106.521, 1.399, 200.322, .959, List
268, .322, 19.018, 49.194, 1.332, Array
269, 103.130, 1.371, 201.740, .970, List
269, .322, 19.145, 37.089, .741, Array
270, 112.538, 1.201, 203.112, .964, List
270, .322, 20.207, 37.311, .737, Array
271, 118.897, 1.238, 204.545, .946, List
271, .322, 19.334, 37.772, .740, Array
272, 119.310, 1.403, 214.001, .967, List
272, .335, 19.513, 38.130, .750, Array
273, 105.558, 1.315, 207.733, .988, List
273, .328, 19.704, 38.118, .747, Array
274, 107.546, 1.288, 209.385, .956, List
274, .331, 20.022, 38.410, .751, Array
275, 125.125, 1.305, 212.908, .971, List
275, .337, 19.897, 39.798, 1.123, Array
276, 110.726, 1.351, 212.507, .990, List
276, .341, 20.062, 39.090, .759, Array
277, 111.718, 1.323, 213.921, .972, List
277, .335, 20.170, 40.592, .758, Array
278, 109.493, 1.219, 215.852, 1.004, List
278, .344, 20.510, 39.545, .761, Array
279, 109.771, 1.412, 216.585, 1.000, List
279, .337, 20.499, 39.763, .766, Array
280, 112.105, 1.319, 217.997, .998, List
280, .344, 20.607, 39.994, .766, Array
281, 114.642, 1.453, 219.910, 1.008, List
281, .341, 20.768, 40.582, .771, Array
282, 114.400, 1.351, 221.226, 1.003, List
282, .339, 21.021, 40.663, .773, Array
283, 114.247, 1.301, 223.302, 1.001, List
283, .347, 20.994, 40.830, .773, Array
284, 114.346, 1.185, 224.134, .999, List
284, .339, 21.172, 41.049, .810, Array
285, 114.546, 1.206, 225.936, .978, List
285, .341, 21.262, 41.343, .782, Array
286, 118.640, 1.453, 227.374, 1.030, List
286, .344, 21.450, 41.665, .784, Array
287, 132.871, 1.428, 228.935, 1.035, List
287, .348, 21.701, 41.925, .781, Array
288, 119.298, 1.426, 230.558, 1.046, List
288, .355, 21.794, 42.238, .789, Array
289, 119.010, 1.480, 232.321, 1.050, List
289, .351, 22.012, 42.588, .795, Array
290, 118.608, 1.408, 233.883, 1.061, List
290, .351, 22.164, 42.840, .807, Array
291, 119.278, 1.422, 238.154, 1.040, List
291, .353, 22.240, 43.177, .805, Array
292, 139.615, 1.406, 237.565, 1.049, List
292, .362, 22.370, 43.444, .815, Array
293, 125.585, 1.420, 245.409, 1.051, List
293, .353, 22.519, 44.782, .806, Array
294, 123.909, 1.533, 240.659, 1.069, List
294, .354, 22.702, 44.033, .811, Array
295, 123.248, 1.329, 242.062, 1.043, List
295, .364, 22.782, 44.316, .812, Array
296, 123.719, 1.450, 245.327, 1.062, List
296, .367, 22.997, 44.682, .813, Array
297, 124.793, 1.393, 245.491, 1.061, List
297, .368, 23.348, 44.856, 2.582, Array
298, 128.949, 1.653, 246.709, 1.078, List
298, .367, 23.371, 45.557, .820, Array
299, 132.341, 1.286, 248.219, 1.086, List
299, .359, 23.594, 45.519, .877, Array
300, 126.737, 1.291, 249.630, 1.079, List
300, .362, 23.477, 45.694, .827, Array
301, 128.912, 1.447, 251.623, 1.095, List
301, .364, 23.694, 46.084, .849, Array
302, 127.687, 1.553, 253.434, 1.088, List
302, .378, 23.891, 46.439, .836, Array
303, 128.817, 1.483, 254.724, 1.100, List
303, .379, 24.013, 46.686, .836, Array
304, 150.909, 1.469, 256.248, 1.467, List
304, .625, 30.531, 52.102, .841, Array
305, 134.620, 1.443, 258.551, 1.171, List
305, .372, 24.262, 47.371, .842, Array
306, 147.900, 1.317, 259.586, 1.104, List
306, .372, 24.500, 47.593, .845, Array
307, 134.229, 1.624, 261.994, 1.115, List
307, .374, 24.607, 47.906, .844, Array
308, 132.440, 1.640, 263.821, 1.132, List
308, .378, 24.917, 48.285, .845, Array
309, 148.878, 1.545, 265.751, 1.139, List
309, .376, 24.997, 48.686, .857, Array
310, 137.814, 1.571, 267.131, 1.139, List
310, .377, 25.207, 48.884, .848, Array
311, 136.861, 1.323, 268.458, 1.146, List
311, .378, 25.303, 49.633, .857, Array
312, 141.431, 1.510, 270.201, 1.130, List
312, .384, 25.411, 49.534, .857, Array
313, 138.681, 1.537, 271.969, 1.116, List
313, .382, 25.671, 49.889, .861, Array
314, 138.149, 1.562, 274.103, 1.155, List
314, .382, 25.773, 50.163, .866, Array
315, 142.237, 1.428, 274.951, 1.129, List
315, .392, 25.904, 50.800, .868, Array
316, 145.998, 1.494, 276.793, 1.154, List
316, .386, 26.064, 54.339, .870, Array
317, 144.937, 1.623, 280.927, 1.157, List
317, .396, 26.272, 51.080, .872, Array
318, 143.107, 1.682, 280.446, 1.164, List
318, .401, 26.465, 51.742, .878, Array
319, 143.419, 1.611, 282.641, 1.166, List
319, .395, 26.653, 51.996, 2.612, Array
320, 146.929, 1.400, 284.235, 1.147, List
320, .391, 26.735, 51.973, .894, Array
321, 149.781, 1.644, 285.764, 1.181, List
321, .393, 26.903, 52.316, .888, Array
322, 147.375, 1.514, 287.519, 1.181, List
322, .396, 27.231, 52.663, .894, Array
323, 148.771, 1.341, 289.544, 1.163, List
323, .395, 27.130, 53.172, .890, Array
324, 148.310, 1.609, 290.803, 1.180, List
324, .401, 27.494, 53.285, .897, Array
325, 147.896, 1.503, 292.387, 1.194, List
325, .411, 27.535, 53.867, .901, Array
326, 155.337, 1.626, 294.435, 1.209, List
326, .404, 27.901, 54.014, .901, Array
327, 152.438, 1.487, 296.069, 1.226, List
327, .404, 27.900, 54.482, .906, Array
328, 152.269, 1.706, 298.351, 1.212, List
328, .409, 28.079, 54.826, .909, Array
329, 151.948, 1.471, 300.038, 1.195, List
329, .406, 69.663, 72.048, .910, Array
330, 157.709, 1.652, 309.332, 1.205, List
330, .409, 28.385, 55.297, .973, Array
331, 158.731, 1.716, 303.729, 1.209, List
331, .415, 28.598, 55.546, .916, Array
332, 156.409, 1.656, 305.355, 1.234, List
332, .418, 28.847, 55.988, .922, Array
333, 162.420, 1.716, 307.479, 1.254, List
333, .411, 28.921, 56.263, .927, Array
334, 174.371, 1.629, 318.060, 1.230, List
334, .425, 42.142, 66.762, .928, Array
335, 160.891, 1.578, 316.422, 1.223, List
335, .414, 29.330, 57.051, .948, Array
336, 164.693, 1.673, 325.340, 1.240, List
336, .417, 29.964, 57.837, .933, Array
337, 163.699, 1.541, 316.684, 1.213, List
337, .424, 29.571, 57.591, .953, Array
338, 170.927, 1.551, 345.625, 1.220, List
338, .417, 30.228, 64.025, 1.508, Array
339, 163.419, 1.975, 332.042, 1.422, List
339, .437, 40.456, 159.106, 1.230, Array
340, 169.396, 1.799, 321.586, 1.260, List
340, .422, 30.428, 58.643, .948, Array
341, 174.276, 1.782, 325.364, 1.303, List
341, .427, 30.692, 60.449, 1.030, Array
342, 171.006, 1.714, 324.397, 1.250, List
342, .424, 30.597, 59.389, .974, Array
343, 172.820, 1.705, 327.011, 1.263, List
343, .427, 30.703, 59.990, .952, Array
344, 168.146, 1.777, 328.465, 1.257, List
344, .427, 30.883, 63.735, .969, Array
345, 171.360, 1.839, 330.951, 1.282, List
345, .427, 31.093, 60.908, .962, Array
346, 173.977, 1.716, 333.073, 1.272, List
346, .431, 31.270, 61.199, 1.092, Array
347, 178.162, 1.619, 334.715, 1.281, List
347, .430, 31.493, 61.852, .966, Array
348, 172.858, 1.621, 336.536, 1.295, List
348, .431, 31.533, 62.075, .972, Array
349, 173.975, 1.800, 338.493, 1.285, List
349, .433, 31.830, 61.839, 2.727, Array
350, 176.723, 1.672, 355.144, 1.276, List
350, .437, 32.001, 62.230, .977, Array
351, 178.885, 1.799, 342.465, 1.296, List
351, .438, 32.225, 62.557, .978, Array
352, 176.991, 1.777, 346.961, 1.306, List
352, .441, 32.473, 62.912, .986, Array
353, 176.514, 1.686, 348.161, 1.291, List
353, .440, 32.726, 63.410, .989, Array
354, 178.071, 1.668, 351.868, 1.314, List
354, .452, 32.685, 63.798, 1.011, Array
355, 181.770, 1.833, 350.155, 1.328, List
355, .463, 33.019, 64.111, .990, Array
356, 184.677, 1.781, 354.368, 1.448, List
356, .569, 33.044, 64.625, .997, Array
357, 181.965, 1.780, 354.723, 1.309, List
357, .447, 35.075, 64.735, .998, Array
358, 182.596, 1.735, 356.226, 1.306, List
358, .450, 33.472, 65.156, 1.001, Array
359, 184.524, 1.880, 359.169, 1.359, List
359, .460, 33.766, 65.585, 1.001, Array
360, 187.842, 1.682, 360.836, 1.309, List
360, .448, 33.930, 65.889, 1.003, Array
361, 190.738, 1.713, 362.116, 1.320, List
361, .453, 34.095, 66.296, 1.013, Array
362, 187.679, 1.735, 364.057, 1.413, List
362, .454, 34.363, 66.629, 1.020, Array
363, 188.465, 1.898, 365.980, 1.325, List
363, .459, 34.427, 67.403, 1.018, Array
364, 190.141, 1.592, 369.246, 1.307, List
364, .456, 34.463, 67.760, 1.013, Array
365, 196.384, 1.803, 370.109, 1.347, List
365, .472, 34.726, 67.614, 1.021, Array
366, 192.652, 1.714, 392.945, 1.408, List
366, .456, 34.827, 67.948, 1.022, Array
367, 192.492, 1.804, 373.984, 1.351, List
367, .461, 35.115, 68.539, 1.030, Array
368, 194.586, 1.645, 383.470, 1.341, List
368, .464, 35.405, 69.000, 2.894, Array
369, 195.275, 1.939, 377.931, 1.395, List
369, .463, 35.556, 70.878, 1.032, Array
370, 201.081, 1.743, 380.433, 1.380, List
370, .478, 35.581, 69.604, 1.029, Array
371, 196.857, 1.676, 382.029, 1.367, List
371, .475, 35.726, 69.771, 1.038, Array
372, 198.401, 2.474, 384.770, 1.413, List
372, .476, 37.120, 70.739, 1.049, Array
373, 198.635, 1.973, 386.189, 1.386, List
373, .472, 36.256, 70.747, 1.044, Array
374, 201.388, 1.862, 388.399, 1.397, List
374, .482, 36.357, 74.867, 1.089, Array
375, 203.014, 1.779, 407.340, 1.383, List
375, .489, 36.552, 71.612, 1.053, Array
376, 203.717, 1.553, 392.299, 1.349, List
376, .482, 36.686, 71.816, 1.077, Array
377, 204.408, 1.744, 393.975, 1.394, List
377, .486, 36.973, 72.005, 2.988, Array
378, 209.990, 1.769, 396.023, 1.387, List
378, .476, 37.103, 72.379, 1.054, Array
379, 208.155, 1.729, 398.206, 1.390, List
379, .478, 37.362, 72.610, 1.076, Array
380, 208.029, 2.026, 400.223, 1.431, List
380, .487, 37.674, 74.534, 1.060, Array
381, 207.830, 1.911, 402.275, 1.416, List
381, .482, 38.280, 73.779, 1.179, Array
382, 212.303, 1.809, 405.670, 1.413, List
382, .482, 37.919, 74.858, 1.090, Array
383, 214.223, 1.863, 406.517, 1.451, List
383, .484, 38.282, 74.289, 1.083, Array
384, 212.503, 1.772, 408.087, 1.405, List
384, .489, 38.232, 74.905, 1.070, Array
385, 212.202, 1.944, 410.380, 1.454, List
385, .487, 38.464, 75.023, 1.069, Array
386, 216.122, 1.891, 412.576, 1.467, List
386, .488, 38.688, 75.425, 1.083, Array
387, 214.691, 1.818, 417.051, 1.484, List
387, .487, 38.844, 75.745, 1.080, Array
388, 216.111, 1.928, 416.719, 1.443, List
388, .490, 39.406, 76.193, 1.078, Array
389, 220.670, 1.917, 419.111, 1.434, List
389, .490, 39.269, 77.645, 1.093, Array
390, 218.805, 1.924, 421.321, 2.810, List
390, .962, 45.928, 77.173, 3.073, Array
391, 222.485, 2.059, 423.485, 1.459, List
391, .498, 39.956, 77.423, 1.087, Array
392, 223.678, 2.118, 425.842, 1.466, List
392, .503, 39.893, 78.426, 1.100, Array
393, 222.890, 1.911, 427.918, 1.485, List
393, .496, 40.155, 79.291, 1.111, Array
394, 223.849, 1.925, 429.761, 1.460, List
394, .498, 40.884, 78.791, 1.107, Array
395, 224.709, 2.050, 433.869, 1.480, List
395, .506, 40.951, 79.249, 1.113, Array
396, 233.581, 2.102, 434.982, 1.510, List
396, .501, 40.948, 79.521, 1.104, Array
397, 229.843, 1.885, 440.222, 1.456, List
397, .516, 40.915, 80.098, 1.115, Array
398, 228.326, 2.042, 439.542, 1.479, List
398, .869, 50.480, 80.407, 1.143, Array
399, 229.949, 2.216, 444.569, 1.499, List
399, .518, 41.487, 81.900, 1.138, Array
400, 232.838, 2.209, 477.170, 1.510, List
400, .519, 41.970, 81.234, 1.130, Array
401, 233.761, 1.945, 446.363, 1.502, List
401, .519, 41.914, 82.623, 1.152, Array
402, 233.232, 2.005, 448.796, 1.532, List
402, .522, 42.255, 82.202, 1.140, Array
403, 234.608, 1.950, 451.367, 1.519, List
403, .521, 42.397, 82.518, 1.141, Array
404, 241.368, 1.799, 453.390, 1.521, List
404, .524, 42.804, 82.842, 1.158, Array
405, 240.135, 1.992, 456.486, 1.516, List
405, .530, 42.659, 83.502, 1.149, Array
406, 239.865, 2.053, 458.144, 1.529, List
406, .532, 43.039, 83.971, 1.150, Array
407, 240.189, 2.218, 460.312, 3.531, List
407, .520, 43.166, 85.490, 1.154, Array
408, 241.739, 2.020, 462.605, 1.508, List
408, .539, 43.385, 84.552, 1.146, Array
409, 241.874, 1.981, 479.744, 1.497, List
409, .528, 43.501, 85.027, 1.157, Array
410, 250.226, 2.046, 484.388, 1.523, List
410, .523, 43.719, 85.640, 1.151, Array
411, 244.518, 2.141, 469.328, 1.601, List
411, .526, 44.399, 90.514, 1.155, Array
412, 249.385, 2.106, 474.464, 1.543, List
412, .535, 44.168, 86.266, 1.158, Array
413, 250.399, 2.109, 474.589, 1.533, List
413, .532, 44.363, 86.685, 1.158, Array
414, 250.806, 2.071, 479.178, 1.549, List
414, .542, 44.644, 89.557, 1.163, Array
415, 263.753, 2.144, 478.943, 1.546, List
415, 2.631, 44.830, 87.768, 1.164, Array
416, 253.672, 2.124, 481.830, 1.689, List
416, .534, 45.153, 88.059, 1.181, Array
417, 254.672, 2.142, 484.490, 1.573, List
417, .543, 46.020, 88.692, 1.179, Array
418, 253.603, 2.050, 486.572, 1.612, List
418, .541, 45.614, 88.876, 1.187, Array
419, 255.298, 2.000, 514.432, 1.562, List
419, .537, 45.899, 89.362, 1.193, Array
420, 261.084, 2.250, 491.927, 1.583, List
420, .540, 45.992, 89.668, 1.193, Array
421, 259.387, 2.036, 495.609, 1.644, List
421, .545, 46.405, 90.259, 1.192, Array
422, 265.387, 1.985, 497.094, 1.581, List
422, .543, 46.536, 90.533, 1.191, Array
423, 261.988, 1.989, 500.312, 1.596, List
423, .561, 46.623, 91.553, 1.214, Array
424, 268.391, 1.925, 502.535, 1.570, List
424, .557, 47.360, 91.374, 1.221, Array
425, 265.438, 2.115, 502.759, 1.606, List
425, .555, 47.330, 91.819, 1.198, Array
426, 263.852, 2.116, 504.448, 1.645, List
426, .560, 47.420, 92.191, 1.202, Array
427, 266.695, 2.119, 508.268, 1.622, List
427, .553, 47.440, 94.242, 1.200, Array
428, 272.411, 2.215, 527.339, 1.626, List
428, .557, 48.539, 93.120, 1.198, Array
429, 271.378, 2.063, 516.462, 1.616, List
429, .558, 47.901, 93.566, 1.616, Array
430, 285.348, 2.194, 514.415, 1.649, List
430, .566, 48.465, 94.306, 1.214, Array
431, 271.096, 2.092, 517.255, 1.610, List
431, .574, 48.406, 94.385, 1.221, Array
432, 276.011, 2.064, 519.239, 1.625, List
432, .574, 48.620, 97.934, 1.239, Array
433, 274.077, 2.121, 535.415, 1.626, List
433, .561, 48.874, 95.282, 1.234, Array
434, 276.392, 2.282, 525.713, 2.979, List
434, 1.046, 52.439, 95.814, 3.343, Array
435, 282.980, 2.309, 529.253, 1.634, List
435, .577, 49.261, 97.221, 1.239, Array
436, 279.572, 2.119, 529.085, 1.644, List
436, .576, 49.910, 96.524, 1.230, Array
437, 280.969, 2.221, 545.033, 1.643, List
437, .571, 49.741, 100.097, 1.230, Array
438, 279.968, 2.038, 533.585, 1.642, List
438, .577, 49.959, 97.572, 1.244, Array
439, 284.260, 2.279, 537.512, 1.671, List
439, .569, 50.095, 97.952, 1.245, Array
440, 286.132, 2.335, 538.826, 1.652, List
440, .601, 50.411, 98.456, 1.296, Array
441, 286.124, 2.098, 541.548, 1.636, List
441, .584, 50.643, 99.630, 1.240, Array
442, 288.998, 1.762, 543.245, 1.617, List
442, .577, 51.017, 99.587, 1.244, Array
443, 291.884, 2.099, 545.622, 1.665, List
443, .576, 50.923, 100.054, 1.251, Array
444, 289.100, 2.401, 548.806, 1.697, List
444, .581, 51.383, 100.780, 1.250, Array
445, 290.769, 2.109, 550.549, 1.652, List
445, .588, 51.407, 103.273, 1.268, Array
446, 295.126, 2.222, 552.922, 1.668, List
446, .591, 51.772, 100.993, 1.287, Array
447, 296.411, 2.269, 556.048, 1.734, List
447, .584, 51.891, 101.457, 1.271, Array
448, 295.345, 2.220, 561.238, 1.666, List
448, .588, 52.660, 102.202, 1.278, Array
449, 296.358, 2.325, 561.068, 1.675, List
449, 2.808, 52.586, 102.731, 1.271, Array
450, 296.911, 2.433, 564.099, 1.717, List
450, .589, 53.046, 103.290, 1.287, Array
451, 300.384, 2.126, 581.080, 1.718, List
451, .595, 54.571, 105.684, 1.297, Array
452, 300.449, 2.148, 570.906, 1.768, List
452, .594, 53.148, 104.293, 1.293, Array
453, 305.164, 2.261, 572.994, 1.706, List
453, .593, 53.432, 104.263, 1.303, Array
454, 306.302, 2.176, 574.158, 1.733, List
454, .601, 53.670, 105.577, 1.285, Array
455, 306.661, 2.362, 593.410, 1.710, List
455, .615, 54.150, 105.626, 1.291, Array
456, 306.732, 2.609, 579.461, 1.739, List
456, .600, 54.229, 106.065, 3.405, Array
457, 311.975, 2.316, 583.572, 1.727, List
457, .611, 54.481, 106.411, 1.298, Array
458, 328.514, 2.505, 584.029, 1.751, List
458, .618, 54.850, 106.692, 1.294, Array
459, 311.189, 2.124, 587.002, 1.687, List
459, .614, 55.639, 107.120, 1.294, Array
460, 311.057, 2.275, 591.348, 1.710, List
460, .612, 55.338, 107.831, 1.318, Array
461, 313.639, 2.362, 592.750, 1.761, List
461, .617, 55.677, 108.126, 1.323, Array
462, 315.481, 2.355, 594.882, 1.722, List
462, .614, 55.652, 108.879, 1.307, Array
463, 316.322, 2.415, 597.204, 2.378, List
463, .985, 106.457, 205.013, 2.143, Array
464, 388.408, 2.435, 612.412, 1.823, List
464, .662, 81.352, 179.802, 1.312, Array
465, 378.143, 2.688, 695.403, 1.829, List
465, .621, 57.781, 110.722, 1.323, Array
466, 327.356, 2.476, 759.929, 2.366, List
466, .920, 106.099, 204.930, 1.362, Array
467, 321.320, 2.455, 610.833, 1.780, List
467, .618, 56.926, 111.002, 1.318, Array
468, 325.235, 2.346, 612.040, 1.766, List
468, .635, 57.703, 111.664, 1.324, Array
469, 328.569, 2.198, 614.024, 1.753, List
469, .630, 57.367, 112.648, 1.368, Array
470, 342.768, 2.250, 616.094, 1.784, List
470, .632, 57.580, 112.463, 1.357, Array
471, 332.027, 2.161, 620.562, 1.776, List
471, .620, 57.829, 112.798, 1.342, Array
472, 346.509, 2.129, 620.924, 1.724, List
472, .631, 62.266, 113.523, 1.334, Array
473, 334.856, 4.239, 623.307, 1.775, List
473, .623, 58.174, 114.061, 1.344, Array
474, 333.756, 4.374, 626.197, 1.795, List
474, .635, 58.686, 114.405, 1.366, Array
475, 337.409, 2.507, 854.869, 2.263, List
475, .785, 76.656, 170.286, 1.680, Array
476, 422.421, 3.132, 786.061, 2.239, List
476, .788, 75.301, 149.942, 1.673, Array
477, 437.622, 2.845, 791.054, 2.238, List
477, .783, 73.902, 150.134, 4.666, Array
478, 426.924, 2.959, 641.391, 1.815, List
478, .634, 61.025, 116.173, 1.355, Array
479, 340.010, 2.524, 639.339, 1.828, List
479, .636, 62.161, 116.875, 1.368, Array
480, 342.307, 2.226, 642.102, 1.799, List
480, .634, 60.091, 117.036, 1.362, Array
481, 345.915, 2.353, 644.450, 1.823, List
481, .641, 62.507, 118.437, 1.569, Array
482, 344.952, 2.486, 648.305, 1.846, List
482, .640, 60.862, 119.491, 1.368, Array
483, 347.637, 2.567, 666.378, 1.842, List
483, .646, 60.858, 119.004, 1.371, Array
484, 347.512, 2.063, 654.675, 1.776, List
484, .652, 61.235, 119.118, 1.381, Array
485, 365.182, 2.474, 655.653, 1.832, List
485, .666, 61.498, 119.868, 1.429, Array
486, 350.498, 2.569, 658.310, 1.866, List
486, .647, 61.875, 121.615, 1.404, Array
487, 351.858, 2.586, 663.952, 1.876, List
487, .649, 61.880, 120.722, 3.724, Array
488, 362.287, 2.497, 666.310, 1.866, List
488, .652, 62.324, 122.751, 1.410, Array
489, 354.366, 2.489, 667.593, 1.832, List
489, .672, 62.542, 121.885, 1.545, Array
490, 357.744, 2.518, 670.693, 1.907, List
490, .663, 63.702, 122.198, 1.389, Array
491, 358.877, 2.343, 674.828, 1.904, List
491, .677, 63.485, 122.632, 1.387, Array
492, 360.274, 2.417, 674.804, 1.851, List
492, .675, 63.504, 124.389, 1.589, Array
493, 363.439, 2.155, 677.846, 1.833, List
493, .666, 63.342, 123.969, 1.391, Array
494, 363.203, 2.481, 680.592, 1.881, List
494, .663, 63.838, 138.924, 1.412, Array
495, 368.809, 2.682, 683.407, 1.880, List
495, .680, 63.926, 124.877, 1.410, Array
496, 366.984, 2.535, 687.209, 1.859, List
496, .675, 64.126, 126.675, 1.405, Array
497, 368.247, 2.491, 704.831, 1.880, List
497, .686, 64.633, 125.679, 1.426, Array
498, 370.328, 2.492, 692.538, 1.856, List
498, .683, 65.381, 129.284, 1.419, Array
499, 373.063, 2.503, 694.704, 1.928, List
499, .680, 64.965, 127.338, 1.515, Array
500, 371.887, 2.478, 697.672, 1.864, List
500, .681, 65.331, 127.205, 3.825, Array
